station,station_name,longitude,latitude
8000781,Ã»·®¸®¿ªÈ¯½Â¼¾Å¸,127.045497,37.580402
71142,°æµ¿½ÃÀå¾Õ,127.038692,37.58055
75124,È«ÆÄÃÊµÇÐ±³,127.038638,37.585532
75125,Á¦±âµ¿ÇÑ½Å¾ÆÆÄÆ®¾Õ,127.037888,37.587603
75126,°·Á´¿ª.°´¾Õ»°Å¸®,127.036665,37.589438
72504,¼þ·ÊÃÊµÇÐ±³,127.03618,37.594357
7917,Á¾¾Ïµ¿ÁÖ¹Î¼¾ÅÍ,127.03472,37.598795
72506,Á¾¾Ï°æÂû¼­,127.033673,37.601095
12863,µ·¾Ï1µ¿ÁÖ¹Î¼¾ÅÍ,127.026568,37.604513
72029,±æÀ½¿ª,127.02352,37.602047
8003186,±æÀ½´ºÅ¸¿10´ÜÁ.¶ó¿ÂÀ¯¾ÆÆÄÆ®,127.018143,37.602945
9204,¼þ´öÃÊ±³,127.015112,37.603648
9088,Á¤¸ª2µ¿ÁÖ¹Î¼¾ÅÍ,127.0112,37.604978
72033,ºÀ±¹»,127.007657,37.606138
72034,°·Á´»ç¹ü´ÇÐºÎ¼Ó°µÇÐ±³,127.002378,37.607888
8971,Ã»´öÃÊ±³,127.00006,37.60863
8003074,±¹¹Î´¾Õ,126.994078,37.61109
8501970,°æ¼º¿©°´(±âÁ¡°¡»),127.095058,37.58546
8001321,¿¸¶¹®È­º¹Áö¼¾ÅÍ,127.09538,37.586485
71130,¼­ÀÏ´ÇÐ±³,127.09687,37.589193
11716,Çý¿ø¿©Áß°ÈÄ¹®,127.096388,37.590465
11657,³óÇù¾Õ,127.091995,37.589453
11617,¸é¸ñ¿ª,127.088517,37.588687
11553,¸é¸ñº¹°³Ãµ,127.08567,37.58805
11465,ÇÏ³ªÀºÇà¸é¸ñÁöÁ¡,127.081042,37.587028
11412,µ¿¼­±×·£µå¸Ç¼Ç,127.07881,37.586482
8501884,ÈÖ°æ°ø°.ÈÖ°æÁÖ°ø¾ÆÆÄÆ®,127.070118,37.584583
11137,ÈÖ°æ¿©Áß°ÈÖ°æÁÖ°ø¾ÆÆÄÆ®¾Õ,127.068288,37.582603
8501947,¹èºÀ»ÀÔ±¸,127.068212,37.580325
72140,¹èºÀÃÊµÇÐ±³¾Õ,127.067337,37.578727
72141,Àü³óµ¿SK¾ÆÆÄÆ®,127.061495,37.57812
72142,Àü³ó»ç°Å¸®,127.059038,37.577818
10835,Àü³ó·¡¹Ì¾ÈÅ©·¹½ÃÆ¼¾ÆÆÄÆ®,127.055592,37.576277
75158,µ¿´¹®ÁßÇÐ±³,127.053755,37.575013
75159,µ¿´¹®¾¸°ÀÌÁý,127.050943,37.572345
75160,½Å´ä¿ª¸¹®¿¹½ÄÀ,127.04786,37.569537
75161,¸¶Àåµ¿ÁÖ¹Î¼¾ÅÍ,127.044555,37.567372
75162,¸¶Àå¿ª,127.042678,37.566108
75163,¼ºµ¿³ÀÎº¹Áö°,127.041572,37.564808
75164,¸¶Àåµ¿±ÝÈ£¾ÆÆÄÆ®,127.04155,37.562108
75165,ÇÑ¾ç´ºÎ¼Ó°µÇÐ±³,127.04111,37.560327
72948,ÇÑ¾ç´¾Õ,127.040647,37.558525
7990,Çà´çµ¿»ºÎ¾ÆÆÄÆ®,127.037978,37.55878
72950,¿Õ½Ê¸®¿ª,127.036305,37.56036
8501627,ÄÚ½º¸ðÅ¸¿,127.032838,37.563003
72154,»ó¿Õ½Ê¸®¿ª,127.028603,37.564735
72155,¿Õ½Ê¸®¼¾Æ®¶ó½º¾ÆÆÄÆ®,127.025057,37.565207
7708,¼ºµ¿°µÇÐ±³,127.022183,37.565595
72157,½Å´ç¿ª.Áß¾Ó½ÃÀå¾Õ,127.018765,37.565797
9222,¼ºµ¿°ø¾÷°µÇÐ±³¾Õ,127.016113,37.56874
14340,Ã»°8°¡.¿µµµ±³,127.019,37.570725
8001040,È²ÇÐµ¿·Ôµ¥Ä³½½,127.022412,37.57155
14560,Ã»°9°¡.ºñ¿´ç±³,127.025565,37.57075
75194,ÅÙÁÈú¾ÆÆÄÆ®.Ã»°èº®»¾ÆÆÄÆ®,127.03004,37.567955
8002383,»ó¿Õ½Ê¸®¿ª,127.029978,37.565858
72164,¿Õ½Ê¸®2µ¿ÁÖ¹Î¼¾ÅÍ,127.033313,37.562482
72645,¿Õ½Ê¸®¿ª,127.036178,37.560043
8012,¼¼¿Õº´¿,127.038407,37.558268
75177,ÇÑ¾ç´¾Õ.ÇÑ¾ç½ÃÀ,127.040952,37.558542
79113,ÇÑ¾ç´ºÎ¼Ó°µÇÐ±³,127.041413,37.560925
75179,¸¶Àåµ¿±ÝÈ£¾ÆÆÄÆ®,127.041865,37.563102
75180,¸¶Àå¿ª,127.042352,37.565557
8501395,¸¶Àåµ¿ÁÖ¹Î¼¾Å¸,127.04464,37.567063
75181,½Å´ä¿ª¸¹®¿¹½ÄÀ,127.047783,37.56909
72170,µ¿´¹®¾¸°ÀÌÁý,127.051142,37.5721
8384,µ¿´¹®ÁßÇÐ±³,127.053192,37.574162
72172,´ÇÑ³ÀÎÈ¸µ¿´¹®±¸ÁöÈ¸,127.055902,37.576208
72173,Àü³ó»ç°Å¸®,127.059262,37.577635
72174,Àü³óµ¿SK¾ÆÆÄÆ®,127.060972,37.577837
73036,Àå¾Èµ¿Çö´¾ÆÆÄÆ®¾Õ,127.068518,37.579788
11145,ÈÖ°æ¿©Áß°ÈÖ°æÁÖ°ø¾ÆÆÄÆ®,127.06853,37.582157
75471,ÈÖ°æ°ø°ÈÖ°æÁÖ°ø¾ÆÆÄÆ®,127.069252,37.584163
11404,µ¿¼­±×·£µå¸Ç¼Ç,127.077953,37.586112
13778,ÇÏ³ªÀºÇà¸é¸ñÁöÁ¡,127.08111,37.586817
11557,¸é¸ñº¹°³Ãµ,127.086043,37.587913
11606,ÁöÇÏÃ¶7È£¼±¸é¸ñ¿ª,127.088633,37.588495
11654,³óÇù¾Õ,127.091903,37.589225
11709,Çý¿ø¿©Áß°ÈÄ¹®,127.09618,37.590197
11718,¼­ÀÏ´ÇÐ±³,127.0967,37.58951
11700,¿¸¶¹®È­º¹Áö¼¾ÅÍ,127.095167,37.586712
8501971,°æ¼º¿©°´(Á¾Á¡°¡»),127.094977,37.585395
8501970,°æ¼º¿©°´(±âÁ¡°¡»),127.095058,37.58546
9001671,ÁßÈ­ÁßÇÐ±³.´Ù¹®È­°¡Á·Áö¿ø¼¾ÅÍ,127.094155,37.584797
9001670,¸éÁßÃÊµÇÐ±³,127.093317,37.582312
9002422,¸é¸ñµ¿±ÝÈ£¾¿¸²¾ÆÆÄÆ®,127.091812,37.579345
9002424,¸é¸ñµ¿´¿øÄ­Å¸ºô¾ÆÆÄÆ®,127.090077,37.577572
9002426,¿¸¶ÆøÆ÷°ø¿,127.088538,37.575968
9002428,¿¸¶»¿ª,127.086388,37.573548
9002429,¸é¸ñµ¿,127.086007,37.5713
8501514,¿°»°Å¸®,127.085585,37.56857
8501515,Áß°¿ª,127.084278,37.566113
8501516,±¹¸³¼­¿º´¿ø¾Õ,127.083307,37.564373
8501517,Áß°µ¿¼º´,127.082402,37.562765
8001421,Áß°2µ¿ÁÖ¹Î¼¾ÅÍ¾Õ,127.080855,37.559935
11418,´Éµ¿»ç°Å¸®.±ºÀÚ¿ª,127.07882,37.556322
11374,´Éµ¿±³È¸¾Õ,127.07699,37.552913
11335,¾¸°ÀÌ´°ø¿ø¾Õ.¼¼Á¾´ÇÐ±³,127.07544,37.549752
11287,¾¸°ÀÌ´°ø¿ø¿ª.È­¾çÃµÁÖ±³È¸,127.073587,37.546695
11258,¼­¿È­¾çÃÊµÇÐ±³,127.072222,37.543765
11220,°Ç´ÀÔ±¸¿ª»ç°Å¸®.°Ç´º´¿,127.071108,37.541375
8001419,°Ç´ÀÔ±¸¿ª,127.068165,37.540943
8501156,¼º¼ö»ç°Å¸®,127.062362,37.542795
8395,¼º¼ö¿ª,127.05383,37.54542
13015,¶Ò¼¶¿ª4¹øÃâ±¸,127.04927,37.5468
8204,¶Ò¼¶¿ª2¹øÃâ±¸,127.046847,37.547575
8136,¼ºµ¿±³³²´Ü,127.044457,37.549515
8105,ÇÑ¾ç´Á¤¹®¾Õ,127.043138,37.556997
7990,Çà´çµ¿»ºÎ¾ÆÆÄÆ®,127.037978,37.55878
72950,¿Õ½Ê¸®¿ª,127.036305,37.56036
8501627,ÄÚ½º¸ðÅ¸¿,127.032838,37.563003
72154,»ó¿Õ½Ê¸®¿ª,127.028603,37.564735
72155,¿Õ½Ê¸®¼¾Æ®¶ó½º¾ÆÆÄÆ®,127.025057,37.565207
7708,¼ºµ¿°µÇÐ±³,127.022183,37.565595
72157,½Å´ç¿ª.Áß¾Ó½ÃÀå¾Õ,127.018765,37.565797
9000748,Ãæ¹«¾ÆÆ®¼¾ÅÍ.½ºÆ÷Ã÷¼¾ÅÍ.ÁßºÎ¼Ò¹æ¼­,127.014045,37.565237
9000530,µ¿´¹®¿ª»ç¹®È­°ø¿,127.00917,37.567483
9000401,Á¾·Î6°¡,127.004312,37.571237
8002153,Á¾·Î5°¡,126.999275,37.571037
8001157,Á¾·Î4°¡.Á¾¹¦,126.99417,37.57071
9000393,Á¾·Î3°¡,126.989935,37.570535
9034838,Á¾·Î2°¡,126.984937,37.570378
9034054,À»Áö·ÎÀÔ±¸¿ª.±¤±³,126.982562,37.56765
8796,À»Áö·ÎÀÔ±¸.½ÃÃ»ÀÔ±¸,126.981198,37.566182
8720,¼­¼Ò¹®,126.97542,37.563765
9034941,ÃæÁ¤·Î¿ª2È£¼±,126.96403,37.559655
8501761,¾ÆÇö¿ª,126.956888,37.557397
8501762,¿þµùÅ¸¿,126.952408,37.557227
8002643,ÀÌ´¿ª,126.947015,37.556872
9036969,½ÅÃÌ¿À°Å¸®.2È£¼±½ÅÃÌ¿ª,126.938988,37.555833
8002638,½ÅÃÌ¿À°Å¸®.Çö´¹éÈ­Á¡,126.934465,37.556063
9036967,µ¿±³µ¿»°Å¸®,126.929527,37.557808
8002636,È«´ÀÔ±¸¿ª,126.924317,37.557325
8002634,¼­±³µ¿¿¹½ÄÀåÅ¸¿,126.92005,37.55415
8002632,ÇÕÁ¤¿ª,126.913667,37.549407
8002644,¾çÆòÇÑ½Å¾ÆÆÄÆ®.¼±À¯µµ°ø¿øÀÔ±¸,126.894667,37.542032
8000961,¿µµÆ÷¾Æ¸®¼öÁ¤¼ö¼¾ÅÍ,126.883595,37.547813
8001367,¿°Ã¢¿ª.¼­¿µµ½Ã°¡½º,126.875895,37.547145
8001368,µÃÌ¿ª.°­¼­º¸°Ç¼Ò,126.86872,37.549115
9004239,¿µÀÏ°µÇÐ±³.°­¼­µµ¼­°,126.863368,37.549035
9004240,¾ÆÀÌÆÄÅ©¾ÆÆÄÆ®.¹é¼®ÁßÇÐ±³.½Ç·Î¾Ï¾È°,126.862155,37.545192
9004243,µÃÌ2µ¿ÁÖ¹Î¼¾ÅÍ.µÃÌµ¿´¸²¾ÆÆÄÆ®,126.862983,37.541988
9004244,´ÀÏ°±³.ÀÓ±¤¾ÆÆÄÆ®.¹è±¤±³È¸,126.863582,37.539838
9004246,¿¹®».½Ã¸³È­°Ã»¼Ò³â¼ö·Ã°,126.863355,37.537372
10274,¸ñµ¿»ç°Å¸®,126.863667,37.53161
70777,¸ñµ¿¿ª.È«ÀÍº´¿,126.863868,37.528088
9003522,¸ñµ¿¿ª.¸ñµ¿¿À°Å¸®,126.862805,37.526005
9003520,½Å¼­°±³.¿µ»ó°±³ÀÔ±¸,126.860412,37.5257
9003518,½ÅÁ¤¿ª(ÀºÇàÁ¤).½ÅÁ¤4µ¿ÁÖ¹Î¼¾ÅÍ,126.854377,37.524902
10137,¾ç°­ÁßÇÐ±³,126.849502,37.52385
